lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.3.1,theta.4.1,theta.5.1,theta.6.1,theta.7.1,theta.8.1,theta.9.1,theta.10.1,theta.11.1,theta.12.1,theta.13.1,theta.14.1,theta.15.1,theta.16.1,theta.17.1,theta.18.1,theta.19.1,theta.20.1,theta.21.1,theta.22.1,theta.23.1,theta.24.1,theta.25.1,theta.1.2,theta.2.2,theta.3.2,theta.4.2,theta.5.2,theta.6.2,theta.7.2,theta.8.2,theta.9.2,theta.10.2,theta.11.2,theta.12.2,theta.13.2,theta.14.2,theta.15.2,theta.16.2,theta.17.2,theta.18.2,theta.19.2,theta.20.2,theta.21.2,theta.22.2,theta.23.2,theta.24.2,theta.25.2,phi.1.1,phi.2.1,phi.1.2,phi.2.2,phi.1.3,phi.2.3,phi.1.4,phi.2.4,phi.1.5,phi.2.5
# Adaptation terminated
# Step size = 0.188613
# Diagonal elements of inverse mass matrix:
# 5.05981, 4.92315, 0.388191, 0.342793, 3.81639, 3.76495, 4.34154, 4.33904, 7.00655, 3.95553, 3.93406, 6.85582, 1.69747, 5.19446, 4.83537, 1.51357, 1.18634, 2.53885, 1.89972, 5.36005, 0.990679, 1.60987, 0.827749, 0.391307, 6.28628, 0.0404322, 0.0951269, 5.80096, 34.8549, 17.1513, 37.0694, 0.0531589, 0.0432602
-394.889,0.436259,0.188613,4,15,0,423.199,0.171379,0.0054775,0.541058,0.430845,0.788379,0.00885804,0.0268866,0.95998,0.0978504,0.999995,0.000465585,0.243595,0.758453,0.0106368,0.755555,0.0835211,0.889938,0.958671,0.171509,0.000702156,0.711575,0.484491,0.294182,0.394692,0.978999,0.828621,0.994523,0.458942,0.569155,0.211621,0.991142,0.973113,0.0400196,0.90215,5.30752e-006,0.999534,0.756405,0.241547,0.989363,0.244445,0.916479,0.110062,0.0413291,0.828491,0.999298,0.288425,0.515509,0.705818,0.605308,0.0210008,0.412242,2.50621e-008,0.335706,0.00261475,0.244643,0.337814,0.00110055,0.347446,0.00630863,0.312125
-393.755,0.97551,0.188613,4,15,0,404.605,0.055652,0.0497136,0.440469,0.313796,0.998914,0.300711,0.0329874,0.976647,0.0614578,0.999974,0.00625643,0.0595459,0.634074,0.0986168,0.984889,0.0787241,0.529066,0.686459,0.273206,0.00207024,0.532694,0.887087,0.452979,0.38894,0.994088,0.944348,0.950286,0.559531,0.686204,0.00108566,0.699289,0.967013,0.023353,0.938542,2.58224e-005,0.993744,0.940454,0.365926,0.901383,0.0151106,0.921276,0.470934,0.313541,0.726794,0.99793,0.467306,0.112913,0.547021,0.61106,0.00591237,0.44915,1.4013e-007,0.30341,0.00218108,0.247111,0.22596,0.00027643,0.430727,5.27669e-005,0.341132
-396.018,0.893726,0.188613,4,15,0,410.002,0.0860204,0.020936,0.257465,0.426308,0.998746,0.0519222,0.00974538,0.845763,0.0582269,0.999995,0.327662,0.283264,0.781312,0.0628327,0.955767,0.0753951,0.715019,0.809008,0.313865,2.70365e-005,0.748003,0.450576,0.37765,0.482915,0.927754,0.91398,0.979064,0.742535,0.573692,0.00125446,0.948078,0.990255,0.154237,0.941773,5.33532e-006,0.672338,0.716736,0.218688,0.937167,0.044233,0.924605,0.284981,0.190992,0.686135,0.999973,0.251997,0.549424,0.62235,0.517085,0.0722461,0.378816,1.75025e-005,0.333021,4.09998e-005,0.288151,0.240508,7.45137e-007,0.42672,1.14779e-005,0.332713
-399.321,0.778248,0.188613,4,31,0,411.321,0.166743,0.00825391,0.239649,0.394906,0.999309,0.00547525,0.0100173,0.967168,0.0798105,0.999984,0.0669282,0.0671276,0.59782,0.062633,0.986325,0.0762301,0.630376,0.842658,0.147471,6.91566e-005,0.59125,0.651142,0.35913,0.564249,0.896483,0.833257,0.991746,0.760351,0.605094,0.000691118,0.994525,0.989983,0.0328323,0.920189,1.58915e-005,0.933072,0.932872,0.40218,0.937367,0.0136748,0.92377,0.369624,0.157342,0.852529,0.999931,0.40875,0.348858,0.64087,0.435751,0.103517,0.466445,1.10002e-006,0.253819,0.0116229,0.279733,0.212607,4.05563e-006,0.398504,1.56124e-008,0.377265
-396.741,0.938301,0.188613,4,15,0,411.427,0.137436,0.0211829,0.268042,0.400366,0.999248,0.00548465,0.00888351,0.979087,0.130492,0.999971,0.0438914,0.0756501,0.615074,0.0640966,0.98543,0.0954713,0.637533,0.875472,0.182272,4.29522e-005,0.588112,0.623223,0.38327,0.535648,0.932133,0.862564,0.978817,0.731958,0.599634,0.000752435,0.994515,0.991116,0.0209127,0.869508,2.88273e-005,0.956109,0.92435,0.384926,0.935903,0.0145701,0.904529,0.362467,0.124528,0.817728,0.999957,0.411888,0.376777,0.61673,0.464352,0.0678672,0.461744,1.66627e-006,0.270239,0.00300208,0.268012,0.219646,5.61466e-006,0.403427,1.54423e-008,0.373923
-396.206,0.923577,0.188613,4,15,0,414.364,0.0294074,0.134837,0.467492,0.678783,0.827201,0.060369,0.0727702,0.969803,0.0317286,0.998773,0.110998,0.00394182,0.754985,0.00764091,0.999543,0.177502,0.900441,0.94578,0.329425,0.000435648,0.953631,0.966008,0.463518,0.323157,0.978475,0.970593,0.865163,0.532508,0.321217,0.172799,0.939631,0.92723,0.0301965,0.968271,0.00122712,0.889002,0.996058,0.245015,0.992359,0.00045701,0.822498,0.0995587,0.0542196,0.670575,0.999564,0.0463693,0.0339916,0.536482,0.676843,0.021525,0.376324,0.0201295,0.357964,0.000101724,0.264595,0.253215,0.000868623,0.420781,0.000248374,0.305773
-396.703,0.999658,0.188613,4,31,0,408.177,0.0114567,0.315022,0.566402,0.605229,0.781993,0.0956883,0.0847143,0.981548,0.0147943,0.998759,0.0577692,0.00505174,0.831669,0.00843202,0.998083,0.148112,0.915281,0.903934,0.420813,0.000672179,0.965845,0.956974,0.471883,0.355155,0.95953,0.988543,0.684978,0.433598,0.394771,0.218007,0.904312,0.915286,0.0184524,0.985206,0.00124079,0.942231,0.994948,0.168331,0.991568,0.00191742,0.851888,0.0847193,0.0960657,0.579187,0.999328,0.0341547,0.0430257,0.528117,0.644845,0.0404701,0.366373,0.00604941,0.364029,0.000596468,0.265778,0.265395,0.00336672,0.419681,0.000452682,0.308278
-390.214,0.999797,0.188613,4,15,0,407.629,0.0463494,0.00578975,0.231266,0.428617,0.993118,0.00833304,0.0845667,0.906564,0.0640998,0.998837,0.0661208,0.5719,0.580217,0.125832,0.938192,0.135886,0.666551,0.61581,0.173169,0.463927,0.61185,0.474776,0.290135,0.22508,0.992002,0.953651,0.99421,0.768734,0.571383,0.00688249,0.991667,0.915433,0.0934362,0.9359,0.00116325,0.933879,0.4281,0.419783,0.874168,0.0618078,0.864114,0.333449,0.38419,0.826831,0.536073,0.38815,0.525224,0.709865,0.77492,0.00799837,0.454257,8.51028e-005,0.282429,0.000145564,0.246635,0.287,0.000619723,0.403025,0.0160592,0.309744
-397.578,0.937582,0.188613,4,15,0,406.853,0.128372,0.173465,0.591826,0.363941,0.998106,0.139027,0.036677,0.992502,0.0135867,0.968034,0.0780242,0.00154368,0.71792,0.0120665,0.979736,0.17691,0.963558,0.928558,0.219123,5.54267e-005,0.612674,0.912553,0.299306,0.430141,0.99996,0.871628,0.826535,0.408174,0.636059,0.00189402,0.860973,0.963323,0.00749841,0.986413,0.0319664,0.921976,0.998456,0.28208,0.987934,0.0202644,0.82309,0.0364417,0.0714419,0.780877,0.999945,0.387326,0.0874469,0.700694,0.569859,3.97889e-005,0.37066,0.00278968,0.405833,5.90902e-006,0.223484,0.305473,2.36499e-005,0.374864,2.20329e-008,0.316868
-400.612,0.839622,0.188613,4,31,0,418.217,0.00233776,0.013812,0.420022,0.578071,0.873383,0.0500758,0.0696213,0.987567,0.00353756,0.997663,0.0161599,0.27865,0.969926,0.151902,0.803303,0.26525,0.718763,0.790799,0.225815,0.000157038,0.646423,0.565694,0.200176,0.433159,0.767183,0.997662,0.986188,0.579978,0.421929,0.126617,0.949924,0.930379,0.0124329,0.996462,0.00233655,0.98384,0.72135,0.0300742,0.848098,0.196697,0.73475,0.281237,0.209201,0.774185,0.999843,0.353577,0.434306,0.799824,0.566841,0.232817,0.426731,2.15741e-007,0.256252,2.50444e-014,0.315088,0.275756,0.00192683,0.427552,1.19082e-006,0.296692
